id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,safety_score,distance_to_public_transportation
1225069038,20140505T000000,2.28E+06,7,8,13540,307752,3,0,4,3,12,9410,4130,1999,0,98053,47.6675,-121.986,4850,217800,2.926245352,304.0884205
6762700020,20141013T000000,7.70E+06,6,8,12050,27600,2.5,0,3,4,13,8570,3480,1910,1987,98102,47.6298,-122.323,3940,8800,10,999.7352244
9208900037,20140919T000000,6.89E+06,6,8,9890,31374,2,0,4,3,13,8860,1030,2001,0,98039,47.6305,-122.24,4540,42730,8.974004451,896.7740859
424049043,20140811T000000,450000,9,8,4050,6504,2,0,0,3,7,4050,0,1996,0,98144,47.5923,-122.301,1448,3866,0.446846848,68.49462928
9175600025,20141007T000000,800000,7,6,7480,41664,2,0,2,3,11,5080,2400,1953,0,98166,47.4643,-122.368,2810,33190,0.980993832,119.9392009
1924059029,20140617T000000,4.67E+06,5,6,9640,13068,1,1,4,3,12,4820,4820,1983,2009,98040,47.557,-122.21,3270,10454,6.090385622,607.0429081
424069279,20150328T000000,1.18E+06,6,6,6260,10955,2,0,0,3,11,4840,1420,2007,0,98075,47.5947,-122.039,2710,12550,1.47517687,170.9237505
2524069097,20140509T000000,2.24E+06,5,6,7270,130017,2,0,0,3,12,6420,850,2010,0,98027,47.5371,-121.982,1800,44890,2.881187999,297.2215107
2303900035,20140611T000000,2.89E+06,5,6,8670,64033,2,0,4,3,13,6120,2550,1965,2003,98177,47.7295,-122.372,4140,81021,3.726195806,391.597678
6072800246,20140702T000000,3.30E+06,5,6,8020,21738,2,0,0,3,11,8020,0,2001,0,98006,47.5675,-122.189,4160,18969,4.333737293,429.9066592
685000115,20141007T000000,2.15E+06,8,6,4340,9415,2,0,0,3,8,4340,0,1967,0,98004,47.6316,-122.202,2050,9100,2.696064193,282.8918359
7558700030,20150413T000000,5.30E+06,6,6,7390,24829,2,1,4,4,12,5000,2390,1991,0,98040,47.5631,-122.21,4320,24619,6.991101977,694.250311
2424059170,20150219T000000,900000,5,6,7120,40806,2,0,4,3,12,5480,1640,2007,0,98006,47.5451,-122.114,3440,36859,1.209242793,135.8683681
8835770170,20140822T000000,1.49E+06,5,6,6880,279968,2,0,3,3,12,4070,2810,2007,0,98045,47.4624,-121.779,4690,256803,1.852182508,210.1615829
3625049042,20141011T000000,3.64E+06,5,6,5490,19897,2,0,0,3,12,5490,0,2005,0,98039,47.6165,-122.236,2910,17600,4.741755139,480.9764233
6065300370,20150506T000000,4.21E+06,5,6,7440,21540,2,0,0,3,12,5550,1890,2003,0,98006,47.5692,-122.189,4740,19329,5.571145322,548.6192132
6744700427,20140507T000000,540000,7,5,3700,7647,2,0,1,3,8,3700,0,1948,1984,98155,47.7393,-122.289,2510,7479,0.757908694,87.13267219
1630700380,20150130T000000,1.92E+06,5,5,7730,230868,2,0,0,3,12,6660,1070,2004,0,98077,47.7615,-122.084,2660,39292,2.552081829,259.0507872
2470100110,20140804T000000,5.57E+06,5,5,9200,35069,2,0,0,3,13,6200,3000,2001,0,98039,47.6289,-122.233,3560,24345,7.276978645,733.8586432
2626069030,20150209T000000,1.94E+06,4,5,7220,223462,2,0,4,3,12,6220,1000,2000,0,98053,47.7097,-122.013,2680,7593,2.437034239,264.800705
1778360150,20140620T000000,1.24E+06,7,5,6630,13782,2,0,0,3,10,4930,1700,2004,0,98006,47.5399,-122.118,4470,8639,1.580155925,177.5545597
7738500731,20140815T000000,4.50E+06,5,5,6640,40014,2,1,4,3,12,6350,290,2004,0,98155,47.7493,-122.28,3030,23408,5.902270945,586.4276774
3303850390,20141212T000000,2.98E+06,5,5,7400,18898,2,0,3,3,13,6290,1110,2001,0,98006,47.5431,-122.112,6110,26442,3.817049223,399.4400872
7851990120,20140701T000000,925000,5,5,5190,12637,2,0,2,3,11,5190,0,2001,0,98065,47.5424,-121.872,3840,12637,1.107980629,127.0205161
853200010,20140701T000000,3.80E+06,5,5,7050,42840,1,0,2,4,13,4320,2730,1978,0,98004,47.6229,-122.22,5070,20570,5.001228071,497.6833201
3377900195,20140929T000000,2.53E+06,4,5,6930,45100,1,0,0,4,11,4310,2620,1950,1991,98006,47.5547,-122.144,2560,37766,3.225621187,341.4067623
6447300265,20141014T000000,4.00E+06,4,5,7080,16573,2,0,0,3,12,5760,1320,2008,0,98039,47.6151,-122.224,3140,15996,5.127085555,520.7570834
5710000005,20140522T000000,2.15E+06,4,5,5060,10320,2,0,0,3,11,5060,0,2008,0,98004,47.6245,-122.21,3010,10080,2.738529279,294.5123094
1125079111,20150415T000000,1.60E+06,4,5,6530,871200,2,0,2,3,11,6530,0,2008,0,98014,47.664,-121.878,1280,858132,2.13230273,211.2227288
622069006,20140820T000000,1.50E+06,4,5,6550,217374,1,0,0,3,11,5400,1150,2006,0,98058,47.4302,-122.095,4110,50378,1.833138025,205.1304191
627300145,20140814T000000,1.15E+06,10,5,4590,10920,1,0,2,3,9,2500,2090,2008,0,98004,47.5861,-122.113,2730,10400,1.477177026,160.9734602
3425069117,20140828T000000,1.28E+06,6,5,6160,27490,2,0,0,3,11,4040,2120,2007,0,98074,47.6094,-122.023,4225,9100,1.541662404,183.9497938
7116500920,20140520T000000,300000,6,5,2860,5682,2,0,0,3,7,2860,0,1978,0,98002,47.303,-122.221,1390,5956,0.396844518,49.47590681
9297300740,20141118T000000,643500,6,5,3600,3960,2,0,0,3,7,2400,1200,1971,0,98126,47.5656,-122.372,1450,4600,0.805891577,90.67786994
5093300280,20140709T000000,1.68E+06,5,5,4830,18707,2,0,1,5,9,3930,900,1952,1998,98040,47.5858,-122.247,2880,10520,2.244896198,232.3810188
3025059093,20140729T000000,3.10E+06,5,5,5090,23669,2,0,0,3,12,5090,0,2006,0,98004,47.6297,-122.216,3830,22605,3.963501687,409.291643
3262300485,20150421T000000,2.25E+06,5,5,3410,8118,2,0,0,3,11,3410,0,2006,0,98039,47.6295,-122.236,3410,16236,3.000574707,306.2270767
1247600105,20141020T000000,5.11E+06,5,5,8010,45517,2,1,4,3,12,5990,2020,1999,0,98033,47.6767,-122.211,3430,26788,6.625438645,671.0304299
1524079188,20140729T000000,1.86E+06,4,5,5240,320917,2,0,2,3,10,5240,0,2006,0,98024,47.5605,-121.905,1930,68824,2.448721683,249.9768433
7237500590,20141117T000000,1.32E+06,4,5,6110,10369,2,0,0,3,11,6110,0,2005,0,98059,47.5285,-122.135,4190,10762,1.709851598,189.504702
98000950,20141210T000000,1.06E+06,4,5,4140,14757,2,0,2,3,11,4140,0,2005,0,98075,47.5871,-121.969,4440,15523,1.421383068,154.4402784
3262300555,20140708T000000,2.46E+06,4,5,6500,14986,2,0,0,3,11,5180,1320,2001,0,98039,47.6304,-122.236,2270,8119,3.218934817,324.9023376
4139900120,20140605T000000,1.42E+06,4,5,4670,43950,2,0,0,3,12,4670,0,1989,0,98006,47.5456,-122.126,4900,35000,1.792832092,197.8589125
9126101740,20141204T000000,490000,8,5,2800,2580,2,0,0,3,8,1880,920,1997,0,98122,47.6086,-122.303,1800,2580,0.537863614,70.84140468
1068000375,20140923T000000,3.20E+06,6,5,7100,18200,2.5,0,0,3,13,5240,1860,1933,2002,98199,47.6427,-122.408,3130,6477,4.205672692,425.9495185
2149800278,20141015T000000,343000,6,5,2732,7655,2,0,0,3,7,2732,0,2009,0,98002,47.3045,-122.211,3078,69993,0.407470646,54.11366802
3185600055,20140611T000000,495000,6,5,3440,4500,2,0,0,3,8,3280,160,2007,0,98055,47.4871,-122.219,1400,5500,0.515289424,83.14104267
2922059212,20150109T000000,480000,6,5,3028,18055,2,0,0,3,7,3028,0,2005,0,98030,47.3651,-122.197,1400,34575,0.577885755,78.62896107
3225079035,20140618T000000,1.60E+06,6,5,6050,230652,2,0,3,3,11,6050,0,2001,0,98024,47.6033,-121.943,4210,233971,2.083658445,225.7843781
3886901795,20150422T000000,655000,6,5,2850,6600,2,0,0,3,7,2850,0,1994,0,98033,47.6813,-122.187,1870,9900,0.724097094,92.49702748
2525049148,20141007T000000,3.42E+06,5,5,5450,20412,2,0,0,3,11,5450,0,2014,0,98039,47.6209,-122.237,3160,17825,4.366485253,449.3396332
524059063,20140506T000000,1.80E+06,5,5,4490,10279,2,0,0,3,10,3930,560,2013,0,98004,47.5974,-122.202,2490,10279,2.355831779,236.9147859
8907500070,20150413T000000,5.35E+06,5,5,8000,23985,2,0,4,3,12,6720,1280,2009,0,98004,47.6232,-122.22,4600,21750,6.968076197,698.8555371
2175100055,20141230T000000,1.70E+06,5,5,4930,14649,2,0,3,3,11,4160,770,2000,0,98040,47.5829,-122.247,3030,8479,2.261599469,224.7809196
7215720070,20140806T000000,1.25E+06,5,5,5000,32909,2,0,0,3,10,5000,0,2000,0,98075,47.6012,-122.022,3030,12601,1.565616289,173.305282
2322069010,20141007T000000,1.18E+06,5,5,3960,94089,2,0,0,3,10,3960,0,1998,0,98038,47.38,-122.011,2240,64468,1.528762715,170.5256104
5152960710,20140514T000000,740000,5,5,5774,31675,1,0,2,3,11,4490,1284,1984,0,98003,47.3466,-122.323,3260,13200,0.960202518,101.0642773
98000130,20150324T000000,1.43E+06,4,5,4630,24054,2,0,3,3,11,4630,0,2005,0,98075,47.587,-121.966,4630,17584,1.777700254,191.9599496
3885803044,20140902T000000,1.88E+06,4,5,5810,7440,2,0,0,3,10,3790,2020,2004,0,98033,47.6878,-122.212,3010,7200,2.372183303,249.2858252
3225069065,20140624T000000,3.08E+06,4,5,4550,18641,1,1,4,3,10,2600,1950,2002,0,98074,47.6053,-122.077,4550,19508,3.974847991,410.5096517
4139420370,20140811T000000,1.76E+06,4,5,6055,21630,1,0,3,4,12,3555,2500,1996,0,98006,47.5524,-122.112,4890,19223,2.347777763,239.7029494
5469650040,20150316T000000,784500,4,5,5820,13906,2,0,0,3,11,3750,2070,1993,0,98042,47.3814,-122.164,2980,13000,0.916991465,117.3441367
4139420190,20150512T000000,2.48E+06,4,5,5310,16909,1,0,4,3,12,3090,2220,1992,0,98006,47.5515,-122.113,5220,15701,3.282972646,337.8539436
2125059163,20140703T000000,1.04E+06,4,5,4110,43560,2,0,0,4,11,4110,0,1978,0,98005,47.6353,-122.18,3650,43995,1.250182646,141.5483452
5536100005,20140808T000000,2.30E+06,7,4,5310,8816,2,0,0,3,10,3650,1660,2013,0,98004,47.6221,-122.208,2920,10610,2.922819497,312.4451835
5451100490,20150115T000000,884900,7,4,5370,10800,1.5,0,0,3,8,5370,0,1967,0,98040,47.538,-122.223,2310,10910,1.187871793,132.3237377
4139500410,20150126T000000,1.68E+06,6,4,5770,16747,2,0,3,3,12,4500,1270,1998,0,98006,47.5512,-122.11,4470,14571,2.07270657,229.9944962
4217402115,20150421T000000,3.65E+06,6,4,5480,19401,1.5,1,4,5,11,3910,1570,1936,0,98105,47.6515,-122.277,3510,15810,4.647440205,483.8872681
2397101606,20141208T000000,2.63E+06,6,4,5540,7200,2.5,0,2,4,11,3950,1590,1909,0,98119,47.6361,-122.366,2930,7200,3.421889545,345.2361071
5078400215,20140730T000000,1.70E+06,5,4,3940,7067,2,0,0,3,10,3230,710,2008,0,98004,47.6232,-122.205,1910,7735,2.220934559,224.4417839
4139300135,20140709T000000,2.32E+06,5,4,5780,17004,2,0,0,3,11,4260,1520,2006,0,98040,47.5802,-122.212,3460,10855,3.0491606,306.1623043
856000195,20140521T000000,2.70E+06,5,4,5305,8401,2,0,2,3,11,3745,1560,2005,0,98033,47.6864,-122.215,2960,7200,3.501660989,357.1644768
2524049166,20140918T000000,2.95E+06,5,4,6240,47480,1,0,3,3,11,4610,1630,2003,0,98040,47.5317,-122.233,4170,17668,3.874043284,391.2546963
2024069008,20140619T000000,2.20E+06,5,4,5990,10450,2,1,4,3,11,4050,1940,2002,0,98027,47.5554,-122.077,3330,14810,2.876125021,292.6978383
7851980100,20140605T000000,1.08E+06,5,4,5180,17811,2,0,2,3,11,4070,1110,2001,0,98065,47.5405,-121.868,3960,15103,1.291844748,152.7765608
2426039123,20150130T000000,2.42E+06,5,4,7880,24250,2,0,2,3,13,7880,0,1996,0,98177,47.7334,-122.362,2740,10761,3.073754064,331.1822523
3625059043,20140904T000000,3.30E+06,5,4,6200,13873,2,1,4,4,11,4440,1760,1989,0,98008,47.605,-122.112,2940,13525,4.225814609,434.3441405
7214700830,20140513T000000,480000,5,4,3830,35000,1,0,0,3,8,2130,1700,1976,0,98077,47.7597,-122.079,2750,36150,0.580281503,78.10938595
1118001408,20141124T000000,2.54E+06,5,4,5410,13431,2,0,0,4,10,5050,360,1941,0,98112,47.6306,-122.288,3750,11596,3.256514839,341.4785218
1118002000,20140624T000000,2.47E+06,5,4,6390,13180,2,0,0,3,10,4560,1830,1940,0,98112,47.6312,-122.291,4010,8137,3.223489313,333.0077753
2937300050,20150227T000000,988990,4,4,4150,6303,3,0,0,3,9,4150,0,2014,0,98052,47.7047,-122.123,3570,6285,1.300064685,138.2401378
822069112,20150423T000000,1.35E+06,4,4,5230,89298,2.5,0,0,3,11,5230,0,2002,0,98038,47.4097,-122.063,4110,107153,1.710441259,193.2925673
629800660,20140909T000000,1.68E+06,4,4,4790,25412,2,0,0,3,12,4790,0,1999,0,98074,47.603,-122.012,3830,16314,2.253276602,221.6054642
4054500390,20141007T000000,1.37E+06,4,4,5310,57346,2,0,0,4,11,5310,0,1989,0,98077,47.7285,-122.042,4180,47443,1.751520102,191.3060886
6708200320,20140929T000000,599000,4,4,3700,11000,1,0,0,4,7,1840,1860,1962,0,98028,47.768,-122.251,1720,11564,0.649601918,91.34133954
1732801150,20140701T000000,2.30E+06,4,4,3970,9778,2,0,2,4,11,3390,580,1928,0,98119,47.6312,-122.366,3970,8460,2.892219363,307.5428731
5317100750,20140711T000000,2.92E+06,4,4,4575,24085,2.5,0,2,5,10,3905,670,1926,0,98112,47.6263,-122.284,3900,9687,3.706228507,391.8066893
9822700190,20140808T000000,1.28E+06,9,4,3650,5000,2,0,0,3,8,2530,1120,1915,2010,98105,47.6604,-122.289,2510,5000,1.705457061,184.3105005
1997200215,20140507T000000,599999,9,4,3830,6988,2.5,0,0,3,7,2450,1380,1938,0,98103,47.6927,-122.338,1460,6291,0.68970318,90.12089496
2616800600,20140530T000000,840000,7,4,4290,37607,1.5,0,0,5,10,4290,0,1982,0,98027,47.4812,-122.033,2810,40510,0.95560994,126.9570325
7663700968,20140528T000000,565000,7,4,4140,9066,1,0,0,3,7,2070,2070,1978,0,98125,47.7302,-122.291,1440,1865,0.709878573,90.05556273
7159200005,20140507T000000,3.20E+06,7,4,6210,8856,2.5,0,2,5,11,4760,1450,1910,0,98109,47.6307,-122.354,2940,5400,4.175844977,419.2245684
722059020,20150318T000000,550000,6,4,4520,40164,2,0,0,3,9,3580,940,1953,2008,98031,47.407,-122.216,2870,13068,0.620994254,87.51785483
7013200280,20140702T000000,989000,6,4,3830,4800,3,0,0,3,9,3050,780,1919,2004,98119,47.6404,-122.361,1990,4800,1.167944497,141.1620815
5609000311,20150410T000000,729999,6,4,3600,6110,2,0,0,3,9,2510,1090,2012,0,98118,47.5687,-122.291,1360,5800,0.834928418,108.4613839
5017000470,20140710T000000,1.98E+06,6,4,4800,9097,2,0,0,3,10,3580,1220,2007,0,98112,47.6259,-122.291,2180,6037,2.55793573,274.0210709
7896300592,20150114T000000,303500,6,4,3390,7200,2,0,0,3,8,2440,950,2007,0,98118,47.5205,-122.288,2040,7214,0.252364964,54.57765532
4139500200,20150305T000000,1.38E+06,6,4,5740,10312,2,0,2,3,11,3610,2130,2000,0,98006,47.5533,-122.11,4350,11917,1.802268294,195.8803081
6169900790,20140620T000000,2.40E+06,6,4,5480,10800,2,0,3,4,9,4430,1050,1999,0,98119,47.6307,-122.367,2970,7200,3.047063749,327.7865643
1424069069,20140522T000000,1.15E+06,6,4,6040,219542,2,0,0,3,11,4100,1940,1996,0,98029,47.5622,-122.003,2010,32362,1.452729004,158.1746188
5409000110,20150506T000000,389000,6,4,3560,14010,2,0,0,3,7,3560,0,1989,0,98002,47.3244,-122.217,1710,11116,0.445140971,58.05901466
1994200260,20140819T000000,869900,6,4,2750,4400,2,0,0,3,8,1770,980,1987,0,98103,47.6883,-122.335,1860,4400,1.136856732,129.2230273
125059138,20140722T000000,510000,6,4,3300,7561,2,0,0,3,8,3300,0,1980,0,98052,47.6795,-122.104,2470,7561,0.587990953,83.45828674
